,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
67,53,0.0125,11,1,tensor(204.6501),121.0,11,11,25,172,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.5999142477104255,6.203465654322725
68,54,0.0125,11,1,tensor(204.6501),121.0,11,11,25,10,4,4,0,1,10,7,1,0,1,10,42.0,56.76955199241638,False,0,0,11,11,121,85.0,0.34710743801652894,0.49411764705882355,4.611111164093018,5.0,6.167767524719238,3.656366395715726,0.6080043619905062,6.230432701922994
69,55,0.0125,11,1,tensor(204.6501),121.0,11,11,25,192,4,4,0,1,10,7,1,0,1,10,42.0,62.426406145095825,False,0,0,11,11,121,88.0,0.34710743801652894,0.4772727272727273,5.44505500793457,4.950549602508545,6.727318286895752,3.656366395715726,0.6208369854469583,6.281359713524659
70,56,0.0125,11,1,tensor(204.6501),121.0,11,11,25,17,4,4,0,1,10,7,1,0,1,10,42.0,62.426406145095825,False,0,0,11,11,121,88.0,0.34710743801652894,0.4772727272727273,5.44505500793457,4.950549602508545,6.727318286895752,3.656366395715726,0.628635548006841,6.307354922057602
71,57,0.0125,11,1,tensor(204.6501),121.0,11,11,25,18,4,4,0,1,10,7,1,0,1,10,42.5,63.840619683265686,False,0,0,11,11,121,89.0,0.3512396694214876,0.47752808988764045,5.44505500793457,4.950549602508545,6.727318286895752,3.6780660900548137,0.6292571428498429,6.33289001416474
72,57,0.0125,11,1,tensor(204.6501),121.0,11,11,24,18,4,4,0,1,10,7,1,0,1,10,42.5,63.840619683265686,False,0,0,11,11,121,89.0,0.3512396694214876,0.47752808988764045,5.44505500793457,4.950549602508545,6.727318286895752,3.6780660900548137,0.6292571428498429,6.33289001416474
73,58,0.0125,11,1,tensor(204.6501),121.0,11,11,24,179,4,4,0,1,10,7,1,0,1,10,43.5,63.012192606925964,False,0,0,11,11,121,89.0,0.359504132231405,0.4887640449438202,5.44505500793457,4.950549602508545,6.727318286895752,3.721085869607808,0.6367844371386916,6.357980995127571
74,58,0.0125,11,1,tensor(204.6501),121.0,11,11,23,179,4,4,0,1,10,7,1,0,1,10,43.5,63.012192606925964,False,0,0,11,11,121,89.0,0.359504132231405,0.4887640449438202,5.44505500793457,4.950549602508545,6.727318286895752,3.721085869607808,0.6367844371386916,6.357980995127571
75,59,0.0125,11,1,tensor(204.6501),121.0,11,11,23,48,4,4,0,1,10,7,1,0,1,10,43.5,63.012192606925964,False,0,0,11,11,121,89.0,0.359504132231405,0.4887640449438202,5.44505500793457,4.950549602508545,6.727318286895752,3.721085869607808,0.6441830534089733,6.382643049361841
76,60,0.0125,11,1,tensor(204.6501),121.0,11,11,23,89,4,4,0,1,10,7,1,0,1,10,43.5,63.012192606925964,False,0,0,11,11,121,89.0,0.359504132231405,0.4887640449438202,5.44505500793457,4.950549602508545,6.727318286895752,3.721085869607808,0.6561878887608122,6.430543452997696
